username,2025-05-21,2025-05-22,2025-05-23,2025-05-24,2025-05-25,2025-05-26,2025-05-27,2025-05-28,2025-05-29,2025-05-30,2025-05-31,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19
Vlad_Lazarev79,2529,2529,2529,2529,2536,2536,2536,2536,2536,2536,2536,2524,2527,2517,2517,2525,2538,2541,2546,2550,2550,2556,2564,2556,2556,2556,2551,2544,2543,2550
MW1966,,,,,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2514,2516,2516,2516,2516,2516,2516,2516,2523,2523,2523,2523,2523
ChessTheory64,2461,2461,2467,2467,2467,2467,2467,2471,2479,2486,2491,2504,2504,2504,2511,2511,2489,2489,2489,2489,2489,2489,2479,2470,2479,2473,2482,2487,2487,2496
SteelBoy,2468,2468,2469,2469,2469,2469,2469,2465,2472,2474,2474,2474,2474,2474,2474,2474,2479,2479,2479,2485,2485,2485,2485,2485,2485,2485,2494,2494,2494,2494
sos-shubham,,,,2484,2487,2487,2487,2487,2488,2488,2474,2483,2483,2483,2483,2483,2484,2484,2484,2467,2467,2467,2467,2470,2470,2469,2466,2481,2482,2482
Bestfiercechess,,,,,,,2461,2461,2461,2461,2465,2465,2468,2468,2481,2481,2481,2463,2463,2463,2463,2463,2463,2463,2463,2463,2460,2491,2478,2479
CoD_Dragon,,,,,,,,,,,,,,,,,,,,2490,2480,2445,2446,2449,2455,2462,2470,2470,2473,2473
Tinea,,2458,2460,2461,2463,2469,2478,2487,2487,2487,2485,2477,2480,2482,2482,2482,2466,2466,2466,2466,2466,2467,2467,2467,2467,2467,2470,2472,2472,2472
avcs,,,2447,2458,2467,2463,2469,2460,2465,2468,2480,2478,2474,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465,2454,2454
Konnov_Oleg,,,,,,,,,,,,,,,,,2450,2450,2450,2450,2450,2450,2450,2450,2453,2453,2453,2453,2453,2453
ringo-bunny,,,,,,,,,,2455,2455,2455,2455,2470,2487,2504,2504,2504,2474,2492,2478,2478,2435,2435,2435,2435,2460,2445,2445,2445
gokul07,,,,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,2419,2425,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2440
Thorwald5,,,,,,,,,,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2427,2417,2417,2417,2417,2417,2417
gek76,,,,,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2415,2415,2415,2415,2415
DeeDeeChess,,,,,2421,2451,2425,2419,2420,2410,2411,2408,2408,2408,2408,2408,2408,2408,2414,2430,2417,2417,2417,2416,2417,2417,2404,2407,2400,2414
matteorf2b,2369,2369,2369,2369,2369,2369,2369,2353,2353,2353,2353,2353,2353,2353,2360,2360,2360,2360,2371,2371,2371,2371,2371,2371,2371,2373,2361,2361,2361,2405
RE-BORN,2358,2356,2347,2349,2344,2346,2356,2360,2365,2365,2367,2357,2367,2368,2369,2382,2382,2371,2374,2385,2377,2386,2382,2382,2382,2382,2403,2401,2401,2401
ChessClubKomotini,,,,,,2370,2370,2370,2370,2370,2370,2372,2372,2376,2380,2380,2380,2380,2375,2382,2383,2405,2414,2416,2416,2412,2390,2396,2396,2398
kc6,,,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2384,2389,2389,2389,2389,2389,2389
Roshdy2020,,,,,,,,,,,,,,,,2310,2354,2320,2338,2373,2373,2373,2373,2359,2359,2376,2388,2385,2385,2385
Yorkster,2361,2361,2364,2364,2364,2364,2372,2376,2372,2372,2373,2373,2377,2377,2382,2382,2382,2382,2382,2385,2373,2373,2373,2373,2367,2376,2376,2384,2378,2378
Underdelo,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366,2378,2378,2378,2378
sylvlondon,,,,,,2363,2367,2367,2367,2367,2367,2367,2367,2349,2349,2349,2349,2349,2349,2349,2349,2354,2354,2359,2359,2359,2359,2359,2368,2368
Super_BrainPower,,,,2356,2364,2364,2364,2356,2356,2356,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2348,2348,2348,2348,2348,2367
Litke76,2337,2337,2337,2353,2353,2353,2353,2367,2367,2364,2377,2377,2377,2377,2377,2377,2374,2371,2371,2371,2371,2368,2368,2351,2364,2364,2364,2364,2364,2364
Abyin2000,,,,,,,,,,,,,,,,,,,2351,2351,2351,2351,2351,2351,2351,2364,2364,2364,2364,2364
uzkuzk,,,,,,,,,,,,,,,,,,,,,,,,2344,2355,2355,2361,2361,2361,2361
Unstoppable_Rob,,2364,2364,2364,2364,2364,2364,2364,2364,2371,2367,2367,2367,2377,2377,2377,2364,2364,2364,2364,2364,2364,2364,2358,2358,2358,2358,2361,2361,2361
fjdunne8,,,,,,,,,,,,,,,,,,,,,,2379,2379,2379,2402,2387,2374,2363,2363,2361
NeSuBaMu,,,2368,2368,2368,2368,2368,2368,2368,2373,2373,2373,2373,2373,2373,2373,2372,2372,2372,2372,2372,2372,2372,2359,2359,2359,2359,2359,2359,2359
ELEPHANTMAN8,,,,,,2335,2343,2350,2350,2331,2331,2332,2337,2335,2314,2327,2358,2337,2342,2342,2342,2342,2346,2365,2376,2356,2343,2343,2349,2353
TOMRATD,,,,,,,,,,,,,,,,,,,,,,2360,2357,2374,2374,2379,2366,2376,2353,2353
Moussardraser,,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2354,2354,2335,2335,2335,2352,2352,2352,2352
Kasiopeo,,,,,,,,,,,,,,,,,,,,,,,,,,2333,2351,2351,2351,2351
Vladislav-Z,,,,,1987,2004,2188,2204,2265,2257,2315,2314,2331,2331,2331,2331,2331,2331,2331,2346,2346,2346,2346,2346,2346,2322,2332,2357,2357,2348
daaleksandrov,2321,2321,2321,2321,2321,2321,2321,2323,2323,2327,2327,2327,2327,2327,2327,2327,2334,2334,2335,2335,2335,2335,2335,2340,2340,2340,2345,2345,2345,2345
erphy,2282,2274,2283,2290,2290,2285,2278,2288,2286,2283,2286,2286,2289,2288,2287,2300,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2323,2329,2341
ferenclist,2290,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2311,2320,2330,2340,2340
shaheus,,,2273,2273,2273,2273,2273,2273,2273,2286,2286,2286,2286,2286,2286,2286,2287,2287,2287,2287,2287,2281,2273,2286,2290,2293,2309,2323,2338,2338
AdvikP,,,,2327,2340,2340,2340,2340,2340,2340,2340,2318,2318,2318,2318,2320,2334,2334,2327,2327,2327,2327,2327,2327,2338,2338,2323,2323,2337,2338
trenersahnutyi,,2229,2229,2229,2229,2229,2229,2229,2229,2256,2256,2249,2249,2249,2249,2249,2257,2272,2272,2307,2309,2309,2311,2339,2337,2337,2337,2337,2337,2337
EldarMv,,2339,2321,2316,2316,2328,2309,2317,2317,2317,2317,2317,2336,2336,2336,2336,2336,2336,2336,2319,2328,2328,2341,2334,2361,2337,2337,2337,2337,2337
